w_rmse,w_log_rmse,subspace_similarity,tv_score,hellinger_score,gene_topk_hit_mean,f1_tau90,jaccard_tau90,H_corr,H_corr_spearman,sigma2_age_rmse,sigma2_age_log_rmse,tau2_spa_rmse,tau2_spa_log_rmse,sigma2_e_abs_err,sigma2_e_log_abs_err,align_cost,method,rep
0.014376703733536429,-4.242146178727895,0.7196686821170369,0.8117823848949586,0.7446645549901592,0.9166666666666666,0.8364379084960891,0.7202380952380952,-0.2908430606827489,-0.30063687229334335,,,,,,,0.00020338210446077263,SpatialPCA,3
0.02581505370709675,-3.6567974801918424,0.22348189674784336,0.6340961852581357,0.6440662367158665,0.6666666666666666,0.6174024730053733,0.5064935064935066,0.6175051077236134,0.6110040047246097,,,,,,,0.0006468867357128926,Popari,3
0.04056849248218303,-3.2047635608918603,0.07857905210525373,0.48563613162257807,0.5264786895953059,0.6785714285714286,0.6587011349301161,0.581391242937853,0.39352592788245255,0.3859369912829453,,,,,,,0.0016599509238620172,STAMP,3
0.03286760868102759,-3.415267644757844,0.3529406999624394,0.4799728815058018,0.48813256263667615,0.5357142857142857,0.515389716691549,0.44761904761904764,0.507316632383422,0.5056593607772293,,,,,,,0.0010895561294068392,MEFISTO,3
0.0069638455460802745,-4.967023436230784,0.835487020344815,0.9163033317451343,0.857917029886573,0.96875,0.8591269841263344,0.7674603174603174,0.9562595248770583,0.9609410443233348,6.380356927806718,1.8532240405891378,3.794586953988223,1.333575565395347,0.03060252070822722,-3.4866728973306684,4.849514478966207e-05,stGP,4
0.03159383313329656,-3.4547933314438946,0.3709277982264848,0.6382462426453264,0.5990661011593851,0.7848214285714286,0.7499999999993623,0.636904761904762,0.13993335007216268,0.12904260378513288,,,,,,,0.0009981328354435278,PCA,4
0.05809045656271619,-2.8457538874335055,-0.0776533081049251,0.24025468986330595,0.22218447023249516,0.15714285714285714,0.2666666666662897,0.16856060606060605,0.6338051277000488,0.6138725126499804,,,,,,,0.003374501143664816,NMF,4
0.024514248961765784,-3.7085007402133807,0.2740073922437326,0.6896779032129008,0.6904736024164303,0.78125,0.7272727272721035,0.6678571428571428,-0.15390504787666492,-0.1576970937382901,,,,,,,0.0006240404348890422,SpatialPCA,4
0.022752354930294795,-3.7830866255227704,0.23785205097511053,0.6791222233516656,0.7077719526461375,0.75,0.7535885167458373,0.7222222222222222,0.5250215333903454,0.48840768609230706,,,,,,,0.0005047946233407035,Popari,4
0.027384175713656148,-3.5977899611207294,0.16201013606758352,0.6096348109568741,0.6080809915501759,0.75,0.7354694485836322,0.7125,0.39351861347990647,0.38537591262136695,,,,,,,0.0007506091753854674,STAMP,4
0.028940256981532186,-3.5425216780140714,0.3465716950030937,0.4553988576207872,0.4270667090079994,0.4285714285714286,0.46212414089310005,0.3665140415140415,0.58979320752446,0.5760770192519723,,,,,,,0.0008508899723347744,MEFISTO,4
0.006112217358295498,-5.097465665201903,0.8701804941708833,0.924465752872345,0.8510221431928914,1.0,0.9267676767669982,0.8666666666666667,0.9730448656457946,0.9811691544036346,5.328524462732507,1.6730743635912044,3.540823131485981,1.2643592231350345,0.031825234497234595,-3.4474957662316545,3.735920103504879e-05,stGP,5
0.033966596831457224,-3.382377683416108,0.06263165752068578,0.5831542403705403,0.46380996745205255,0.6083333333333333,0.6877705627699269,0.5386904761904762,-0.6249067119584352,-0.6131912185785999,,,,,,,0.00115372970031076,PCA,5
0.07258976804889337,-2.622931303049449,-0.24890018270560899,0.1395498348303912,0.15981358900472775,0.125,0.1999999999996811,0.11785714285714287,0.8193745098481064,0.8205108907512344,,,,,,,0.005264455409519883,NMF,5
0.029508999964668128,-3.5230599786168133,0.10333430918927888,0.6281292295794683,0.5477761896767773,0.75,0.6855921855915785,0.5361111111111112,0.3038011591213954,0.3166195896840025,,,,,,,0.0008701029314106997,SpatialPCA,5
0.02737493039625547,-3.5981276334512446,0.24923493948193076,0.6896817298617279,0.7131381777697007,0.75,0.7545454545449045,0.7227564102564102,0.7363039064347751,0.7382473906240608,,,,,,,0.0007462935545701709,Popari,5
0.04377898814787447,-3.1286012993547287,-0.09532194528955884,0.3285785174378225,0.346844366122014,0.45833333333333337,0.42380952380916115,0.3786231884057971,0.16043894223382402,0.1456153814752861,,,,,,,0.0018849914631820916,STAMP,5
0.030967907489171848,-3.4748038530151835,0.1975586381019374,0.5539662097405964,0.4790396709037338,0.6333333333333333,0.5757637752313873,0.4570436507936508,0.21899117187236938,0.2121214015126501,,,,,,,0.0009630857956899178,MEFISTO,5
0.027494364747978263,-3.5937742135635617,0.20126847131637549,0.6763133569367239,0.6071837267383668,0.75,0.7029914529909328,0.6642857142857143,0.662232867526603,0.6569041471871995,5.659875028283087,1.7334018121626873,3.4494059836109243,1.2382020375553204,0.03847304671346963,-3.257797368227018,0.0007559400928948698,stGP,6
0.030021866091554796,-3.5058292930980213,0.40880447070089043,0.6332939076398889,0.5952858747414114,0.7232142857142857,0.661338661338013,0.5412878787878788,-0.17572177411431422,-0.14925842038976822,,,,,,,0.0009013731796599954,PCA,6
0.06113921565268762,-2.7946017913114587,-0.10581384168522101,0.22716577055507345,0.21723730731075883,0.19821428571428573,0.23571428571391817,0.14423076923076922,0.6026158463949207,0.6086592922420038,,,,,,,0.0037379509132415114,NMF,6
0.03723513978439889,-3.290502345713539,0.1506289715260063,0.48899635187220786,0.42660224277064707,0.6285714285714286,0.5472222222217707,0.44999999999999996,0.16058208291364012,0.12429571842502336,,,,,,,0.0013622707975719406,SpatialPCA,6
