method,rep,runtime
stGP,36,2.27939148619771
PCA,36,0.06968121975660324
NMF,36,0.06850983574986458
SpatialPCA,36,1.3538702679798007
Popari,36,795.2147448789328
STAMP,36,88.04688108712435
MEFISTO,36,304.63510638754815
stGP,37,15.276286240667105
PCA,37,0.04950796999037266
NMF,37,0.16647836100310087
SpatialPCA,37,1.349569077603519
Popari,37,877.5420985948294
STAMP,37,72.5526183610782
MEFISTO,37,507.6957314768806
stGP,38,2.4507537335157394
PCA,38,0.0496121970936656
NMF,38,0.1137579781934619
SpatialPCA,38,1.3724810760468245
Popari,38,657.8966677421704
STAMP,38,52.0860275356099
MEFISTO,38,524.5698529072106
stGP,39,4.45010869204998
PCA,39,0.035378413274884224
NMF,39,0.10690724104642868
SpatialPCA,39,1.0758114652708173
Popari,39,701.6977682961151
STAMP,39,88.63123932946473
MEFISTO,39,354.8232680838555
stGP,40,4.445243824273348
PCA,40,0.03588951285928488
NMF,40,0.19358969666063786
SpatialPCA,40,1.025119855068624
Popari,40,733.4529361678287
STAMP,40,68.27913155034184
MEFISTO,40,348.81273297872394
stGP,41,80.16165858507156
PCA,41,0.03568934090435505
NMF,41,0.07154690567404032
SpatialPCA,41,1.0313386302441359
Popari,41,919.8143066372722
STAMP,41,66.35135245136917
MEFISTO,41,735.4219799358398
stGP,42,4.295251954346895
PCA,42,0.03589321859180927
NMF,42,0.07763971108943224
SpatialPCA,42,0.9946766663342714
Popari,42,718.5907482076436
STAMP,42,77.54121869429946
MEFISTO,42,508.3573683053255
stGP,43,1.6760368766263127
PCA,43,0.036899881437420845
NMF,43,0.17911895737051964
SpatialPCA,43,1.044895576313138
Popari,43,949.8140461640432
STAMP,43,77.38133510388434
MEFISTO,43,645.0225558532402
stGP,44,11.063548218458891
PCA,44,0.0349850207567215
NMF,44,0.13359609339386225
SpatialPCA,44,0.9827447049319744
Popari,44,797.5666783582419
STAMP,44,76.12558903358877
MEFISTO,44,489.39473095163703
stGP,45,3.611621900461614
PCA,45,0.036063915118575096
NMF,45,0.2054903907701373
SpatialPCA,45,1.0220556743443012
Popari,45,886.3321743831038
STAMP,45,73.1278890920803
MEFISTO,45,513.2163715213537
stGP,46,3.220849390141666
PCA,46,0.03641049563884735
NMF,46,0.13780529517680407
SpatialPCA,46,1.0403344742953777
Popari,46,701.6008462859318
STAMP,46,78.27400760352612
MEFISTO,46,627.0334955118597
stGP,47,9.32045939937234
PCA,47,0.03677463438361883
NMF,47,0.11875341273844242
SpatialPCA,47,1.0514859100803733
Popari,47,696.2071611341089
STAMP,47,97.64143453538418
MEFISTO,47,354.77821713872254
stGP,48,3.1256140172481537
PCA,48,0.03730560373514891
NMF,48,0.06915632914751768
SpatialPCA,48,1.052261066623032
Popari,48,862.5719881253317
STAMP,48,87.73210403509438
MEFISTO,48,390.65747914556414
stGP,49,14.990493193268776
PCA,49,0.036591898649930954
NMF,49,0.14679239690303802
SpatialPCA,49,0.9928324716165662
Popari,49,720.7454787446186
STAMP,49,73.52211800217628
MEFISTO,49,513.6529643433169
