,volume,center_x,center_y,min_x,min_y,max_x,max_y,transcript_count,num_detected_genes,barcodeCount,mouse_id,slide_id,cohort,age,batch,celltype,region,subregion,bbox_area,n_genes_by_counts,total_counts,stGP_domain,clusterlabel,slingPseudotime_1,slingCurveWeight_1
3615378903940100288-97,1460.8757833400532,10428.44898058965,5728.5843065760255,10420.244382327935,5720.367415798187,10434.679797674971,5734.354046956198,511,96,509.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,201.90283007167875,58,247.0,4,4,5.495848540386443,1.0
3615378903940100289-97,2256.060968748666,10478.547479070265,5729.29623788024,10471.29144712245,5720.327603142263,10486.263109012334,5738.117758732707,471,95,470.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,266.3481944685613,61,180.0,3,3,7.799543665073398,1.0
3615378903940100291-97,1618.2113316716936,10490.187143631172,5730.6692993278975,10484.165353202852,5721.406732604976,10496.05487038818,5738.348162852301,451,85,451.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,201.42542606959654,54,236.0,3,3,7.101506535448018,1.0
3615378903940100299-97,717.9964828544332,10502.255001731011,5733.9832043258375,10498.082523435094,5729.175884748622,10508.215716117444,5739.8118084981015,164,54,164.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,107.77586470825689,21,48.0,3,3,7.947938557401524,1.0
3615378903940100303-97,558.0384394630652,10507.707779677105,5737.855923460442,10502.26245380811,5733.442459498119,10513.067436030387,5741.334231717748,128,46,128.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,85.27045853534021,22,57.0,3,3,6.838280620592634,1.0
3615378903940100307-97,1787.862958536772,10589.346494729523,5747.276473618285,10582.934649836365,5736.157710114271,10594.409266757171,5758.957727305031,730,110,729.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,261.6214630517708,64,262.0,4,4,2.1936219876372327,1.0
3615378903940100329-97,1329.6882935493522,10622.509520225389,5764.183636047815,10617.30604904868,5755.877431558647,10628.751771332629,5771.3372525556815,692,114,691.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,176.9488176916093,69,197.0,4,4,5.468039539261138,1.0
3615378903940100342-97,1386.4521343290146,10500.079683446718,5771.64754915154,10493.945669493643,5764.92349828646,10507.033299025992,5779.17934416862,618,103,616.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,186.57522957597484,64,323.0,3,3,7.392918178000665,1.0
3615378903940100347-97,1524.7835118020914,10452.166194443826,5774.409491416445,10445.59479377909,5767.804028258297,10461.5705386734,5782.021261712943,353,90,351.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,227.13089477428497,55,183.0,4,4,4.076780568173739,1.0
3615378903940100352-97,1528.17289301215,10625.892699283178,5776.212310877482,10618.4940317756,5769.448834936804,10632.749626169383,5782.903342641901,528,101,527.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,191.8020046118824,56,199.0,4,4,4.6547608022309115,1.0
3615378903940100361-97,978.7235289221372,10420.721750417042,5779.462682419602,10415.86722590706,5773.247031038158,10426.572252567648,5785.524925408516,220,50,218.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,131.43518657055805,27,88.0,3,3,8.503067536351663,1.0
3615378903940100430-97,2227.1181258952897,10303.834466027894,5831.612996984121,10295.881659513674,5821.508814908076,10310.912982728629,5841.114713327385,569,100,568.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,294.70259606021165,60,244.0,3,3,12.322547634730528,1.0
3615378903940100441-97,1191.1239460190984,10660.052027170852,5833.965570600632,10652.504386735653,5827.040168018872,10666.768573924755,5839.446285097592,380,89,378.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,176.96317630079963,58,187.0,4,4,5.2902944613836365,1.0
3615378903940100457-97,1403.4420753006912,10576.273311169842,5844.004334495644,10568.809782094522,5836.661040789257,10583.172570000695,5850.726609414207,287,56,287.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,202.0207789398843,34,158.0,3,3,6.428773859194885,1.0
3615378903940100467-97,2144.021253479804,10570.906632760612,5853.910366415724,10562.013369505305,5843.76566206995,10579.606787278735,5862.331896928029,392,67,392.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,326.64352633781647,38,179.0,3,3,6.589050257273999,1.0
